niteid wstart wend conv participant nxt_agent mean.normF0 sd.normF0 max.normF0 min.normF0 median.normF0 q1.normF0 q2.5.normF0 q5.normF0 q25.normF0 q75.normF0 q95.normF0 q97.5.normF0 q99.normF0 slope.normF0 intercept.normF0 mean.normF0.slope sd.normF0.slope max.normF0.slope min.normF0.slope median.normF0.slope q1.normF0.slope q2.5.normF0.slope q5.normF0.slope q25.normF0.slope q75.normF0.slope q95.normF0.slope q97.5.normF0.slope q99.normF0.slope slope.normF0.slope intercept.normF0.slope
EvaVertes_2005.EV.words28 26.23 26.3 EvaVertes_2005 EV EV -0.938481237564325 0.21904745602276 -0.547093129636174 -1.19778713617294 -1.04906314732927 -1.19731902841596 -1.19661686678049 -1.19544659738804 -1.07404096023 -0.76161915811739 -0.60976025850768 -0.578426694071927 -0.559626555410475 8.25522168678102 -217.774879189981 -0.938481237564325 0.21904745602276 -0.547093129636174 -1.19778713617294 -1.04906314732927 -1.19731902841596 -1.19661686678049 -1.19544659738804 -1.07404096023 -0.76161915811739 -0.60976025850768 -0.578426694071927 -0.559626555410475 8.25522168678102 -217.774879189981
EvaVertes_2005.EV.words29 26.3 26.93 EvaVertes_2005 EV EV 0.0116039952980654 2.53218130662425 6.26487678004119 -3.05786555207864 -0.999190965388446 -3.02667518694635 -2.8493055024521 -2.72380757504965 -1.92685104958994 1.45123987624703 5.67056188164119 5.84391686805586 6.08907387773474 11.8455958577535 -315.258929758812 0.0116039952980654 2.53218130662425 6.26487678004119 -3.05786555207864 -0.999190965388446 -3.02667518694635 -2.8493055024521 -2.72380757504965 -1.92685104958994 1.45123987624703 5.67056188164119 5.84391686805586 6.08907387773474 11.8455958577535 -315.258929758812
EvaVertes_2005.EV.words30 26.93 27.24 EvaVertes_2005 EV EV 9.2988395921793 1.6611339299301 11.4395137131705 5.15393182693891 9.45988547116593 5.32270633799101 5.49980741911036 5.72584262043812 8.90755450820783 10.5766088772664 11.2864122672137 11.3782155269112 11.4212930713609 9.64828643627919 -251.96308236558 9.2988395921793 1.6611339299301 11.4395137131705 5.15393182693891 9.45988547116593 5.32270633799101 5.49980741911036 5.72584262043812 8.90755450820783 10.5766088772664 11.2864122672137 11.3782155269112 11.4212930713609 9.64828643627919 -251.96308236558
EvaVertes_2005.EV.words31 27.58 28.14 EvaVertes_2005 EV EV -6.204526657576 2.76309735946125 -1.99455027417542 -11.0504208607575 -5.84573806721705 -11.0365665913724 -10.9509068527798 -10.6253459157931 -9.05601720073753 -3.81327555698672 -2.34337129321035 -2.16809705482714 -2.063758526466 19.3160504545071 -545.19329125836 -2.56404710635138 2.84139430747266 1.7843926288799 -7.49723342264356 -2.20525851599243 -7.48060988622181 -7.39440833451334 -7.07215847767913 -5.52691034555064 -0.103564329846751 1.4217252746619 1.60392268063664 1.7124151095527 19.9060247362205 -558.015261419403
EvaVertes_2005.EV.words32 28.14 28.28 EvaVertes_2005 EV EV -0.834221980231171 0.648464055464871 0.269399666201916 -1.91964937625307 -0.633601607724829 -1.9002590341821 -1.87117352107565 -1.82279363325691 -1.44057458519985 -0.364788158603461 -0.000470642161702691 0.10306503555542 0.202865813943317 14.0074048399058 -395.980253859924 2.98686194294654 0.669463538716216 4.10553395370905 1.86230359966813 3.18748231545288 1.88247656068423 1.91273600220838 1.96307243738995 2.36094386434961 3.47377555292699 3.83445961619908 3.93724277569973 4.03821748250532 14.5973791216192 -408.802224020968
EvaVertes_2005.EV.words33 28.28 28.44 EvaVertes_2005 EV EV -0.913433111475761 0.392490825366069 -0.474545060964795 -1.61361658271579 -0.800513692830433 -1.59599656578099 -1.56956654037878 -1.53210892822708 -1.35809759791277 -0.57481919501313 -0.490226259658612 -0.476341265991216 -0.475263542975364 -5.82311558618076 164.231907499015 2.99644796124555 0.372970434260885 3.41925628326613 2.32787025509731 3.10485227059205 2.35015588497423 2.38358432978963 2.41449503345802 2.57812161238503 3.3087746973651 3.41585034477013 3.41888763725534 3.41910882486181 -5.23314130446737 151.409937337972
EvaVertes_2005.EV.words34 28.44 28.74 EvaVertes_2005 EV EV -2.54873268796759 0.59467173187852 -1.59958346943637 -3.33690728373052 -2.44162968498097 -3.3336744078272 -3.32708770221464 -3.31948050334882 -3.19222181135515 -2.02823829373074 -1.65060213865842 -1.61789610181111 -1.60529335825932 -6.6753558368017 188.299009527434 1.49660166371854 0.545664220318019 2.38404438849911 0.767123488840362 1.60370466670515 0.76864062321012 0.772653716522349 0.786205809298299 0.900985584991314 1.97194496496711 2.32836010633494 2.3652802451945 2.37661875814262 -6.0853815550883 175.477039366391
EvaVertes_2005.EV.words35 28.74 29.03 EvaVertes_2005 EV EV -2.23766599703942 0.895790300022811 -0.368294253972432 -3.52367244268905 -2.3151030504779 -3.48970365358576 -3.4509139861276 -3.41579325731954 -3.03680801521334 -1.55775049269306 -0.698501176971493 -0.577874787167098 -0.459097305403756 6.32902767400095 -185.040651435 1.98074754443508 0.926548764191806 3.88624016189269 0.625509422870105 1.97407911025793 0.661163852778286 0.702481981443792 0.732184579093253 1.13946450613878 2.67451500767275 3.55181913688138 3.67605761412484 3.79375146965647 6.91900195571436 -197.862621596043
EvaVertes_2005.EV.words36 29.03 29.12 EvaVertes_2005 EV EV -3.10668265966952 0.284070108541617 -2.69599617353829 -3.69355852869601 -3.06443164710846 -3.68711742492285 -3.67745576926311 -3.6613530098302 -3.18791046511935 -2.92758476210999 -2.74720269167553 -2.72159943260691 -2.70623747716574 -6.67270341066529 190.899445453011 1.22460861427566 0.274067349254502 1.62776991824218 0.663318364609189 1.26488265761092 0.669247755995151 0.678141843074093 0.692965321538998 1.12155778054816 1.39949375458277 1.57912196204094 1.60344594014156 1.61804032700193 -6.08272912895185 178.077475291968
EvaVertes_2005.EV.words37 29.12 29.16 EvaVertes_2005 EV EV -4.15871744229347 0.659117220778808 -3.45492423976785 -4.8961272270309 -4.17208540073067 -4.8872255895878 -4.87387313342314 -4.85161903981539 -4.75205268469251 -3.56285879423902 -3.45774794514773 -3.45633609245779 -3.45548898084383 -43.2745203898757 1256.90054862517 0.211704778908217 0.653081009525944 0.91399294500089 -0.518179823664506 0.198336820471008 -0.509699596422627 -0.496979255559808 -0.475778687455111 -0.377867872408473 0.800790763014419 0.910115714117949 0.91205432955942 0.913217498824302 -42.6845461081624 1244.07857846413
