niteid wstart wend conv participant nxt_agent mean.normI0 sd.normI0 max.normI0 min.normI0 median.normI0 q1.normI0 q2.5.normI0 q5.normI0 q25.normI0 q75.normI0 q95.normI0 q97.5.normI0 q99.normI0 slope.normI0 intercept.normI0 mean.normI0.slope sd.normI0.slope max.normI0.slope min.normI0.slope median.normI0.slope q1.normI0.slope q2.5.normI0.slope q5.normI0.slope q25.normI0.slope q75.normI0.slope q95.normI0.slope q97.5.normI0.slope q99.normI0.slope slope.normI0.slope intercept.normI0.slope
HelenFisher_2006.HF.words4 16 16.26 HelenFisher_2006 HF HF 7.62125082685816 7.22545752526299 16.8029144053083 -2.53210549777242 7.69773401177845 -2.36119942057364 -2.09979196103196 -1.64454282489837 0.540531606112973 15.2717108214527 16.7090525744216 16.7377056684719 16.7757287615121 -52.683890874113 857.993750111808 8.79556199809038 7.16299402984881 17.943885245801 -1.15298943771198 8.81965323470578 -0.986179458289767 -0.73091614541293 -0.298767095577404 1.84582264810742 16.4245889229238 17.8560262975694 17.8970136908713 17.924891797558 -50.9573380322472 831.299712326179
HelenFisher_2006.HF.words5 16.26 16.69 HelenFisher_2006 HF HF 7.93731234659542 7.71596609039403 17.2958466656704 -6.68530677898063 11.2432282950375 -6.60795304385887 -5.49067364567278 -3.87478711199325 -0.322028118735908 13.8908166898539 17.0374808578143 17.1960049715866 17.2597668897505 7.39194349290832 -113.881113323948 9.69667781477655 7.74608328461451 19.1773488352392 -4.56317763386899 13.2415219259739 -4.49268248107077 -3.38569095637 -1.78885604025589 1.21403600581818 15.8688830033549 18.9386112391671 19.0785800865691 19.1654185348942 9.11849633477413 -140.575151109577
HelenFisher_2006.HF.words6 16.69 16.96 HelenFisher_2006 HF HF 4.33431566147621 8.36203724559974 11.751939650643 -10.9054805937241 10.238784765363 -10.7119710161994 -10.3536880664104 -9.36717781072699 -4.98465673734887 11.0366676499536 11.6084864233124 11.695927640248 11.7337689176412 -18.1219151176549 309.238661984144 6.6898271217642 8.34074960598864 14.026481736278 -8.36421586217331 12.6895543134781 -8.16622915452078 -7.8062315591508 -6.82543678873706 -2.82463549842521 13.4249542352707 13.9024814112566 13.9681239021048 14.0038338731483 -16.3953622757891 282.544624198515
HelenFisher_2006.HF.words7 16.96 17.11 HelenFisher_2006 HF HF -1.58477005909839 9.90201132158299 16.5173604246758 -16.3943653442196 -5.96198386825383 -15.6426364496354 -14.5150431077592 -12.7715591093149 -8.67827067785607 5.51828180948992 15.8239256075093 16.1634060767327 16.3757786854985 7.49344616742009 -129.234333547622 1.1327221349325 9.90501217921292 19.2491413318807 -13.5482747316221 -3.23020296104888 -12.7991178054093 -11.6753824160901 -9.93832833857412 -6.03537740630657 8.22862964693378 18.5585642573491 18.901616904866 19.1101315610748 9.21999900928583 -155.92837133325
HelenFisher_2006.HF.words8 17.11 17.71 HelenFisher_2006 HF HF 3.17993535078879 9.29975168992897 16.1883067633054 -20.5576301888525 6.78924042357673 -20.4953048698333 -20.3532072321104 -19.9060753388072 0.780750051756257 8.37171617099405 14.7871079473714 15.7858913193755 16.1274135273057 20.1970319102042 -348.450390205866 6.54518254204381 9.41578569179272 19.3582748745149 -17.6353331059934 10.3878699300081 -17.585200822216 -17.4849691140932 -16.9847308368264 4.4708104505658 11.7939690400573 17.988987518003 18.9611867375092 19.306461163484 21.92358475207 -375.144427991494
HelenFisher_2006.HF.words9 19.57 19.89 HelenFisher_2006 HF HF 4.26060229641165 8.22631801087685 16.4764647461749 -12.7765494156105 3.56165292492562 -9.91431366142135 -7.09584403839117 -5.82697973528971 -3.25637929018329 12.5618571967679 16.0112925959958 16.3166140270725 16.4735037686028 -40.401137750921 801.263598707598 11.626689176404 8.15396704761798 23.6567983549044 -5.68194808592538 11.0420495103104 -2.81428262073007 0.234997349105118 1.78630188261387 4.21925439081016 19.8771931979853 23.1968653995558 23.4833733582867 23.6484076663261 -38.6745849090553 774.56956092197
HelenFisher_2006.HF.words10 19.89 20.28 HelenFisher_2006 HF HF 1.99536927281838 8.12669702260491 16.0468361141258 -9.85101550454834 -0.912769092125963 -8.52675999803278 -7.87293166566913 -7.39078897750835 -5.06791673271472 7.98112991281707 15.2197512642916 15.4525910026071 15.9628100803501 -11.9184874078836 241.355584832319 9.97587081929535 8.09618278498902 23.8368214849486 -1.5371106506766 7.06773245435101 -0.646279443774241 -0.171060026086362 0.517378477388469 2.8989132622829 15.9187653197719 23.0954689141588 23.3092570349088 23.7594635173208 -10.1919345660179 214.66154704669
HelenFisher_2006.HF.words11 20.28 20.9 HelenFisher_2006 HF HF -0.0646555182825769 7.78221318966347 11.6532718772755 -19.8831949518071 -0.110949202786763 -19.198881788427 -18.3891735126165 -14.0996653224489 -4.13210331957105 4.20868453187483 11.4292699082192 11.5855289113596 11.6272828243266 -0.107272424349205 2.14297398433291 8.7731688186381 7.78731284090572 20.3247624720524 -11.5121352452391 8.91739130978807 -10.8381099553443 -10.0171612251702 -5.60777414828676 4.54586405909383 13.0465088687955 20.158500025017 20.2522528142671 20.2858176711424 1.6192804175166 -24.5510638012957
HelenFisher_2006.HF.words12 20.9 21.3 HelenFisher_2006 HF HF 0.710404011325517 7.74706974218495 10.0661619297095 -22.7349100179283 1.90101198140803 -22.3338406826428 -21.7345433555857 -15.4980602931492 -1.55703535322879 5.44343005644441 9.95786213562228 9.99776425564831 10.0394807187143 -3.7857992169571 80.6343342261408 0.710404011325517 7.74706974218495 10.0661619297095 -22.7349100179283 1.90101198140803 -22.3338406826428 -21.7345433555857 -15.4980602931492 -1.55703535322879 5.44343005644441 9.95786213562228 9.99776425564831 10.0394807187143 -3.7857992169571 80.6343342261408
HelenFisher_2006.HF.words13 21.76 21.85 HelenFisher_2006 HF HF 2.47707134686728 10.6203576310452 13.0707258329948 -17.1003731836546 5.66797540873979 -16.7209442658447 -16.1518008891299 -15.2032285946051 -4.6162152830271 11.8730762215575 12.9695898180103 13.0201578255026 13.0504986299979 -229.730257635717 5012.14645541652 2.47707134686728 10.6203576310452 13.0707258329948 -17.1003731836546 5.66797540873979 -16.7209442658447 -16.1518008891299 -15.2032285946051 -4.6162152830271 11.8730762215575 12.9695898180103 13.0201578255026 13.0504986299979 -229.730257635717 5012.14645541652
