niteid wstart wend conv participant nxt_agent mean.normI0 sd.normI0 max.normI0 min.normI0 median.normI0 q1.normI0 q2.5.normI0 q5.normI0 q25.normI0 q75.normI0 q95.normI0 q97.5.normI0 q99.normI0 slope.normI0 intercept.normI0 mean.normI0.slope sd.normI0.slope max.normI0.slope min.normI0.slope median.normI0.slope q1.normI0.slope q2.5.normI0.slope q5.normI0.slope q25.normI0.slope q75.normI0.slope q95.normI0.slope q97.5.normI0.slope q99.normI0.slope slope.normI0.slope intercept.normI0.slope
AmySmith_2006.AS.words15 18.98 19.1 AmySmith_2006 AS AS -0.705524964234189 1.56438094801125 1.32997400590245 -3.2711146424563 -0.00858062785550473 -3.26665498675488 -3.25996550320276 -3.22823440291551 -2.03196442008971 0.488262990687724 1.02530553824518 1.16386742491375 1.26353137350697 15.2570552087002 -291.224968682173 5.75120018876418 1.56658275203257 7.79076689621865 3.17521518184095 6.4517602916476 3.17988274411639 3.18688408752954 3.21927054549577 4.43018438266577 6.94318026043372 7.48546566942305 7.62414054879489 7.72411635724914 15.4389734609698 -288.232266483052
AmySmith_2006.AS.words16 19.1 19.82 AmySmith_2006 AS AS -8.12751403542841 8.72083116704062 6.60362208258437 -23.9176170982773 -7.78786174417392 -23.4895778708737 -22.3995244774112 -21.3478468791314 -16.3881730928564 -1.41681227962746 5.24862917938713 5.8848730793915 6.37000509954428 9.90178550932549 -200.732925144013 -1.59621369826981 8.72941426270862 13.169272201538 -17.3700458118473 -1.28187177254849 -16.9418257961185 -15.8519531909813 -14.8066031840847 -9.83608209829556 5.0873698087456 11.8215108313502 12.4505231983451 12.9354744301726 10.0837037615951 -197.740222944893
AmySmith_2006.AS.words18 20.18 20.25 AmySmith_2006 AS AS -2.26894094340053 2.5672914057593 0.62944434170393 -7.90383190774318 -1.55714314973648 -7.64506114003213 -7.25690498846555 -6.60997806918792 -2.24562459092269 -1.29303065254096 0.307515607724391 0.468479974714162 0.565058594908023 -142.213554242874 2874.2662045835 -2.26894094340053 2.5672914057593 0.62944434170393 -7.90383190774318 -1.55714314973648 -7.64506114003213 -7.25690498846555 -6.60997806918792 -2.24562459092269 -1.29303065254096 0.307515607724391 0.468479974714162 0.565058594908023 -142.213554242874 2874.2662045835
AmySmith_2006.AS.words19 20.25 20.44 AmySmith_2006 AS AS -6.71051405823707 7.30970704322721 1.13468319732426 -18.8151204862487 -3.5988639233503 -18.76999757313 -18.702313203452 -18.3652988624788 -14.4053245247472 -0.75126658119553 0.685833959386771 0.848584722406619 1.0202438073572 100.581666969014 -2053.31950000649 -6.71051405823707 7.30970704322721 1.13468319732426 -18.8151204862487 -3.5988639233503 -18.76999757313 -18.702313203452 -18.3652988624788 -14.4053245247472 -0.75126658119553 0.685833959386771 0.848584722406619 1.0202438073572 100.581666969014 -2053.31950000649
AmySmith_2006.AS.words20 20.44 20.57 AmySmith_2006 AS AS -9.18104203274681 6.76885667389497 1.10794450244975 -17.1289274353957 -11.9510563295404 -17.0356476192144 -16.8957278949424 -16.6768743304147 -15.1646692628461 -1.73012182499479 0.368182929634497 0.738852965859499 0.960307887813648 -163.687407648486 3347.39411681435 -9.18104203274681 6.76885667389497 1.10794450244975 -17.1289274353957 -11.9510563295404 -17.0356476192144 -16.8957278949424 -16.6768743304147 -15.1646692628461 -1.73012182499479 0.368182929634497 0.738852965859499 0.960307887813648 -163.687407648486 3347.39411681435
AmySmith_2006.AS.words21 20.57 20.73 AmySmith_2006 AS AS 0.238223579852847 5.86448600801918 4.38296471818523 -15.1103941344191 2.91675453598009 -14.6144937249362 -13.8706431107119 -13.2615012488841 0.0761594241632206 3.66005795871784 4.27527669656583 4.35503769266554 4.37179390797735 93.36047785246 -1927.64556920174 0.238223579852847 5.86448600801918 4.38296471818523 -15.1103941344191 2.91675453598009 -14.6144937249362 -13.8706431107119 -13.2615012488841 0.0761594241632206 3.66005795871784 4.27527669656583 4.35503769266554 4.37179390797735 93.36047785246 -1927.64556920174
AmySmith_2006.AS.words22 20.73 20.84 AmySmith_2006 AS AS -4.62049067777989 5.08322546994859 2.47461879504414 -12.7461631855966 -5.7757147704418 -12.611953905391 -12.4106399850827 -12.0751167845688 -8.14837134531972 0.434726917007438 2.40334547773711 2.43898213639063 2.46036413158273 -153.904172786482 3194.29988517453 -4.62049067777989 5.08322546994859 2.47461879504414 -12.7461631855966 -5.7757147704418 -12.611953905391 -12.4106399850827 -12.0751167845688 -8.14837134531972 0.434726917007438 2.40334547773711 2.43898213639063 2.46036413158273 -153.904172786482 3194.29988517453
AmySmith_2006.AS.words23 20.84 21.29 AmySmith_2006 AS AS -8.72966753341511 7.11923821078626 2.7091693962226 -22.5878280925305 -9.4473295778676 -22.3329846633211 -22.131045805879 -18.4772063818901 -14.9881445824118 -0.943192021313129 0.168990414204022 1.97235865200337 2.44068672182644 -37.4190139235384 779.47494061202 -8.72966753341511 7.11923821078626 2.7091693962226 -22.5878280925305 -9.4473295778676 -22.3329846633211 -22.131045805879 -18.4772063818901 -14.9881445824118 -0.943192021313129 0.168990414204022 1.97235865200337 2.44068672182644 -37.4190139235384 779.47494061202
AmySmith_2006.AS.words24 21.29 21.62 AmySmith_2006 AS AS -6.56833301338872 7.78419166860467 5.77672162525366 -21.6138712725923 -8.26917601694761 -21.2581790580252 -20.4028831328168 -19.351900371625 -11.8452614937758 0.151158715424376 4.73918621804859 5.29121056126252 5.54095571652961 -3.52860334428454 69.1401364454373 -6.56833301338872 7.78419166860467 5.77672162525366 -21.6138712725923 -8.26917601694761 -21.2581790580252 -20.4028831328168 -19.351900371625 -11.8452614937758 0.151158715424376 4.73918621804859 5.29121056126252 5.54095571652961 -3.52860334428454 69.1401364454373
AmySmith_2006.AS.words25 21.62 22.11 AmySmith_2006 AS AS -6.43896445981799 9.49040640339038 7.27384852104436 -21.7236310169827 -4.6253754840674 -21.3503565835363 -21.0462251785597 -20.8728784683652 -17.5702706081277 1.2874826450468 4.04411994093336 6.11767881367869 6.85740228697889 40.8718591958603 -900.19037842305 -6.43896445981799 9.49040640339038 7.27384852104436 -21.7236310169827 -4.6253754840674 -21.3503565835363 -21.0462251785597 -20.8728784683652 -17.5702706081277 1.2874826450468 4.04411994093336 6.11767881367869 6.85740228697889 40.8718591958603 -900.19037842305
